"Diagnóstico Detalhado";"Jan/2019";"Fev/2019";"Mar/2019";"Abr/2019";"Mai/2019";"Jun/2019";"Jul/2019";"Ago/2019";"Set/2019";"Out/2019";"Nov/2019";"Dez/2019";" Total"
"C00 - Neoplasia maligna do lábio";"95";"107";"87";"103";"168";"112";"139";"138";"138";"172";"131";"144";"1534"
"C01 - Neoplasia maligna da base da língua";"158";"146";"115";"136";"137";"103";"147";"129";"140";"144";"122";"107";"1584"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"176";"204";"184";"216";"224";"191";"225";"238";"260";"263";"226";"180";"2587"
"C03 - Neoplasia maligna da gengiva";"20";"30";"24";"22";"29";"24";"38";"39";"34";"35";"30";"27";"352"
"C04 - Neoplasia maligna do assoalho da boca";"114";"96";"111";"120";"138";"139";"123";"146";"146";"153";"153";"107";"1546"
"C05 - Neoplasia maligna do palato";"75";"74";"67";"76";"66";"60";"96";"93";"102";"97";"89";"77";"972"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"146";"148";"165";"181";"211";"197";"236";"222";"220";"250";"305";"191";"2472"
"C07 - Neoplasia maligna da glândula parótida";"117";"94";"98";"126";"133";"127";"126";"119";"143";"131";"102";"106";"1422"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"38";"31";"35";"28";"32";"45";"57";"54";"38";"186";"52";"30";"626"
"C09 - Neoplasia maligna da amígdala";"77";"53";"47";"64";"86";"41";"60";"54";"69";"69";"51";"58";"729"
"C10 - Neoplasia maligna da orofaringe";"392";"342";"306";"407";"416";"349";"363";"374";"411";"457";"380";"369";"4566"
"C11 - Neoplasia maligna da nasofaringe";"93";"93";"77";"68";"108";"84";"103";"91";"99";"100";"82";"82";"1080"
"C12 - Neoplasia maligna do seio piriforme";"38";"32";"15";"30";"37";"23";"33";"37";"29";"37";"36";"19";"366"
"C13 - Neoplasia maligna da hipofaringe";"126";"94";"95";"102";"128";"99";"105";"104";"112";"130";"114";"84";"1293"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"53";"46";"60";"63";"67";"74";"64";"70";"54";"69";"68";"80";"768"
"C15 - Neoplasia maligna do esôfago";"551";"471";"442";"565";"658";"617";"752";"777";"710";"822";"636";"633";"7634"
"C16 - Neoplasia maligna do estômago";"957";"869";"935";"1050";"1242";"1248";"1761";"1469";"1484";"1587";"1331";"1435";"15368"
"C17 - Neoplasia maligna do intestino delgado";"112";"93";"78";"121";"109";"175";"206";"183";"194";"200";"146";"153";"1770"
"C18 - Neoplasia maligna do cólon";"1592";"1450";"1377";"1625";"1894";"1826";"1906";"1920";"1966";"2113";"1919";"1789";"21377"
"C19 - Neoplasia maligna da junção retossigmóide";"167";"171";"171";"158";"184";"147";"211";"209";"198";"195";"186";"153";"2150"
"C20 - Neoplasia maligna do reto";"882";"705";"719";"827";"1035";"851";"928";"942";"951";"993";"857";"746";"10436"
"C21 - Neoplasia maligna do ânus e do canal anal";"162";"146";"147";"142";"250";"222";"237";"231";"230";"223";"200";"166";"2356"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"215";"199";"195";"248";"351";"293";"280";"265";"331";"349";"310";"231";"3267"
"C23 - Neoplasia maligna da vesícula biliar";"82";"101";"114";"84";"140";"110";"115";"105";"106";"157";"107";"90";"1311"
