"Diagnóstico Detalhado";"0";"1";"2";"3";"4";"Não se aplica";"Ignorado";" Total"
"C00 - Neoplasia maligna do lábio";"8";"17";"26";"58";"29";"511";"454";"1103"
"C01 - Neoplasia maligna da base da língua";"31";"25";"74";"364";"513";"245";"278";"1530"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"49";"81";"153";"500";"720";"440";"922";"2865"
"C03 - Neoplasia maligna da gengiva";"5";"7";"17";"40";"85";"73";"133";"360"
"C04 - Neoplasia maligna do assoalho da boca";"26";"33";"60";"187";"339";"194";"718";"1557"
"C05 - Neoplasia maligna do palato";"19";"24";"77";"192";"232";"110";"309";"963"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"38";"42";"94";"297";"466";"261";"1512";"2710"
"C07 - Neoplasia maligna da glândula parótida";"27";"46";"74";"165";"186";"529";"310";"1337"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"22";"24";"33";"61";"93";"135";"170";"538"
"C09 - Neoplasia maligna da amígdala";"15";"16";"45";"200";"259";"32";"174";"741"
"C10 - Neoplasia maligna da orofaringe";"126";"171";"313";"1209";"1819";"428";"552";"4618"
"C11 - Neoplasia maligna da nasofaringe";"24";"32";"62";"303";"387";"187";"262";"1257"
"C12 - Neoplasia maligna do seio piriforme";"8";"3";"15";"54";"86";"27";"43";"236"
"C13 - Neoplasia maligna da hipofaringe";"30";"38";"68";"345";"501";"127";"166";"1275"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"20";"16";"39";"153";"281";"87";"330";"926"
"C15 - Neoplasia maligna do esôfago";"181";"249";"1048";"2276";"1141";"273";"2636";"7804"
"C16 - Neoplasia maligna do estômago";"198";"208";"855";"2173";"2669";"1929";"12617";"20649"
"C17 - Neoplasia maligna do intestino delgado";"7";"10";"22";"50";"113";"420";"1401";"2023"
"C18 - Neoplasia maligna do cólon";"147";"171";"1385";"2993";"4143";"6855";"8371";"24065"
"C19 - Neoplasia maligna da junção retossigmóide";"9";"7";"67";"131";"176";"585";"1211";"2186"
"C20 - Neoplasia maligna do reto";"225";"343";"1427";"3276";"1924";"1319";"2548";"11062"
"C21 - Neoplasia maligna do ânus e do canal anal";"85";"95";"330";"657";"211";"305";"797";"2480"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"31";"28";"43";"128";"574";"1008";"1536";"3348"
"C23 - Neoplasia maligna da vesícula biliar";"5";"20";"23";"58";"302";"435";"235";"1078"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"7";"11";"38";"81";"320";"287";"508";"1252"
"C25 - Neoplasia maligna do pâncreas";"54";"84";"191";"435";"1494";"837";"1236";"4331"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"0";"0";"0";"0";"0";"116";"1407";"1523"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"0";"0";"0";"0";"0";"64";"375";"439"
"C31 - Neoplasia maligna dos seios da face";"14";"26";"28";"113";"134";"260";"284";"859"
"C32 - Neoplasia maligna da laringe";"114";"305";"321";"738";"959";"2083";"884";"5404"
"C33 - Neoplasia maligna da traquéia";"0";"0";"0";"0";"0";"19";"54";"73"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"271";"298";"363";"1910";"5275";"1891";"3316";"13324"
"C37 - Neoplasia maligna do timo";"0";"0";"0";"0";"0";"38";"122";"160"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"16";"11";"12";"28";"34";"523";"701";"1325"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"0";"0";"0";"0";"0";"24";"91";"115"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"49";"57";"78";"111";"161";"960";"740";"2156"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"57";"53";"53";"120";"233";"445";"1004";"1965"
"C43 - Melanoma maligno da pele";"51";"54";"54";"190";"613";"1785";"2220";"4967"
"C44 - Outras neoplasias malignas da pele";"193";"836";"737";"574";"284";"13453";"36439";"52516"
"C45 - Mesotelioma";"0";"0";"0";"0";"0";"5";"25";"30"
"C46 - Sarcoma de Kaposi";"0";"0";"0";"0";"0";"4";"244";"248"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"0";"0";"0";"0";"0";"8";"83";"91"
