"Diagnóstico Detalhado";" 0 a 19 anos";" 20 a 24 anos";" 25 a 29 anos";" 30 a 34 anos";" 35 a 39 anos";" 40 a 44 anos";" 45 a 49 anos";" 50 a 54 anos";" 55 a 59 anos";" 60 a 64 anos";" 65 a 69 anos";" 70 a 74 anos";" 75 a 79 anos";" 80 anos e mais";"Ignorado";" Total"
"C00 - Neoplasia maligna do lábio";"41";"14";"17";"27";"39";"68";"91";"128";"150";"194";"192";"163";"119";"184";"0";"1427"
"C01 - Neoplasia maligna da base da língua";"3";"1";"5";"14";"26";"69";"99";"215";"253";"267";"226";"138";"92";"71";"0";"1479"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"23";"20";"23";"42";"64";"149";"203";"344";"431";"453";"376";"227";"168";"125";"0";"2648"
"C03 - Neoplasia maligna da gengiva";"6";"4";"5";"8";"8";"8";"24";"25";"56";"52";"48";"34";"32";"29";"0";"339"
"C04 - Neoplasia maligna do assoalho da boca";"6";"5";"5";"13";"27";"76";"110";"212";"270";"299";"211";"153";"106";"67";"0";"1560"
"C05 - Neoplasia maligna do palato";"15";"8";"8";"14";"19";"31";"70";"102";"155";"139";"118";"81";"53";"55";"0";"868"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"61";"20";"38";"51";"74";"105";"173";"249";"359";"354";"316";"220";"112";"124";"0";"2256"
"C07 - Neoplasia maligna da glândula parótida";"31";"13";"23";"47";"41";"55";"79";"99";"129";"161";"144";"140";"96";"145";"0";"1203"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"20";"5";"14";"20";"26";"23";"43";"47";"64";"57";"59";"47";"27";"44";"0";"496"
"C09 - Neoplasia maligna da amígdala";"20";"3";"3";"3";"19";"35";"60";"108";"129";"120";"95";"43";"37";"15";"0";"690"
"C10 - Neoplasia maligna da orofaringe";"12";"15";"20";"24";"62";"222";"421";"690";"910";"849";"695";"394";"215";"189";"0";"4718"
"C11 - Neoplasia maligna da nasofaringe";"55";"27";"27";"28";"44";"84";"102";"129";"167";"164";"98";"79";"55";"35";"0";"1094"
"C12 - Neoplasia maligna do seio piriforme";"2";"0";"1";"2";"6";"14";"29";"40";"57";"76";"56";"33";"13";"12";"0";"341"
"C13 - Neoplasia maligna da hipofaringe";"2";"0";"3";"5";"13";"41";"82";"158";"248";"265";"203";"107";"57";"56";"0";"1240"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"10";"4";"9";"7";"10";"32";"65";"103";"152";"143";"109";"67";"48";"31";"0";"790"
"C15 - Neoplasia maligna do esôfago";"58";"57";"74";"78";"154";"279";"482";"897";"1199";"1360";"1173";"879";"558";"496";"0";"7744"
"C16 - Neoplasia maligna do estômago";"224";"261";"356";"534";"729";"981";"1256";"1616";"2123";"2268";"2240";"1755";"1255";"1026";"0";"16624"
