"Diagnóstico Detalhado";"Masculino";"Feminino";" Total"
"C00 - Neoplasia maligna do lábio";"878";"549";"1427"
"C01 - Neoplasia maligna da base da língua";"1165";"314";"1479"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"1919";"729";"2648"
"C03 - Neoplasia maligna da gengiva";"193";"146";"339"
"C04 - Neoplasia maligna do assoalho da boca";"1180";"380";"1560"
"C05 - Neoplasia maligna do palato";"604";"264";"868"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"1527";"729";"2256"
"C07 - Neoplasia maligna da glândula parótida";"694";"509";"1203"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"271";"225";"496"
"C09 - Neoplasia maligna da amígdala";"545";"145";"690"
"C10 - Neoplasia maligna da orofaringe";"3866";"852";"4718"
"C11 - Neoplasia maligna da nasofaringe";"765";"329";"1094"
"C12 - Neoplasia maligna do seio piriforme";"295";"46";"341"
"C13 - Neoplasia maligna da hipofaringe";"1092";"148";"1240"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"624";"166";"790"
"C15 - Neoplasia maligna do esôfago";"5418";"2326";"7744"
"C16 - Neoplasia maligna do estômago";"8766";"7858";"16624"
"C17 - Neoplasia maligna do intestino delgado";"908";"953";"1861"
"C18 - Neoplasia maligna do cólon";"10674";"11093";"21767"
"C19 - Neoplasia maligna da junção retossigmóide";"1083";"1071";"2154"
"C20 - Neoplasia maligna do reto";"5463";"4921";"10384"
"C21 - Neoplasia maligna do ânus e do canal anal";"698";"1380";"2078"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"1714";"1577";"3291"
"C23 - Neoplasia maligna da vesícula biliar";"363";"797";"1160"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"565";"630";"1195"
"C25 - Neoplasia maligna do pâncreas";"2097";"2123";"4220"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"410";"405";"815"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"213";"152";"365"
"C31 - Neoplasia maligna dos seios da face";"453";"355";"808"
"C32 - Neoplasia maligna da laringe";"4588";"770";"5358"
"C33 - Neoplasia maligna da traquéia";"35";"22";"57"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"6912";"5788";"12700"
"C37 - Neoplasia maligna do timo";"72";"73";"145"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"599";"676";"1275"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"69";"63";"132"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"1077";"1061";"2138"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"962";"795";"1757"
"C43 - Melanoma maligno da pele";"2464";"2538";"5002"
"C44 - Outras neoplasias malignas da pele";"23028";"24155";"47183"
"C45 - Mesotelioma";"25";"21";"46"
"C46 - Sarcoma de Kaposi";"200";"76";"276"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"62";"43";"105"
