"Diagnóstico Detalhado";"CIRURGIA";"QUIMIOTERAPIA";"RADIOTERAPIA";"AMBOS";"Sem informação de tratamento";" Total"
"C00 - Neoplasia maligna do lábio";"511";"4";"134";"0";"454";"1103"
"C01 - Neoplasia maligna da base da língua";"245";"624";"353";"30";"278";"1530"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"440";"671";"789";"43";"922";"2865"
"C03 - Neoplasia maligna da gengiva";"73";"56";"97";"1";"133";"360"
"C04 - Neoplasia maligna do assoalho da boca";"194";"265";"368";"12";"718";"1557"
"C05 - Neoplasia maligna do palato";"110";"320";"215";"9";"309";"963"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"261";"447";"472";"18";"1512";"2710"
"C07 - Neoplasia maligna da glândula parótida";"529";"90";"401";"7";"310";"1337"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"135";"64";"167";"2";"170";"538"
"C09 - Neoplasia maligna da amígdala";"32";"336";"189";"10";"174";"741"
"C10 - Neoplasia maligna da orofaringe";"428";"1776";"1720";"142";"552";"4618"
"C11 - Neoplasia maligna da nasofaringe";"187";"539";"254";"15";"262";"1257"
"C12 - Neoplasia maligna do seio piriforme";"27";"92";"65";"9";"43";"236"
"C13 - Neoplasia maligna da hipofaringe";"127";"526";"431";"25";"166";"1275"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"87";"294";"204";"11";"330";"926"
"C15 - Neoplasia maligna do esôfago";"273";"2689";"1889";"317";"2636";"7804"
"C16 - Neoplasia maligna do estômago";"1929";"5649";"444";"10";"12617";"20649"
"C17 - Neoplasia maligna do intestino delgado";"420";"182";"20";"0";"1401";"2023"
"C18 - Neoplasia maligna do cólon";"6855";"8792";"46";"1";"8371";"24065"
"C19 - Neoplasia maligna da junção retossigmóide";"585";"355";"35";"0";"1211";"2186"
"C20 - Neoplasia maligna do reto";"1319";"4647";"2108";"440";"2548";"11062"
"C21 - Neoplasia maligna do ânus e do canal anal";"305";"650";"619";"109";"797";"2480"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"1008";"809";"38";"1";"1492";"3348"
"C23 - Neoplasia maligna da vesícula biliar";"435";"390";"17";"1";"235";"1078"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"287";"436";"23";"1";"505";"1252"
"C25 - Neoplasia maligna do pâncreas";"837";"2192";"64";"2";"1236";"4331"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"116";"54";"16";"0";"1337";"1523"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"64";"2";"129";"0";"244";"439"
"C31 - Neoplasia maligna dos seios da face";"260";"143";"165";"7";"284";"859"
"C32 - Neoplasia maligna da laringe";"2083";"997";"1350";"90";"884";"5404"
"C33 - Neoplasia maligna da traquéia";"19";"0";"12";"0";"42";"73"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"1891";"6800";"1239";"78";"3316";"13324"
"C37 - Neoplasia maligna do timo";"38";"78";"25";"0";"19";"160"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"523";"71";"48";"0";"683";"1325"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"24";"0";"14";"0";"77";"115"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"960";"394";"62";"0";"740";"2156"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"445";"258";"258";"0";"1004";"1965"
"C43 - Melanoma maligno da pele";"1785";"747";"213";"2";"2220";"4967"
"C44 - Outras neoplasias malignas da pele";"13453";"13";"2611";"0";"36439";"52516"
"C45 - Mesotelioma";"5";"0";"2";"0";"23";"30"
"C46 - Sarcoma de Kaposi";"4";"161";"25";"0";"58";"248"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"8";"23";"17";"0";"43";"91"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"895";"147";"17";"0";"993";"2052"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"3644";"1489";"703";"4";"4951";"10791"
"C50 - Neoplasia maligna da mama";"6993";"34951";"2510";"78";"11669";"56201"
"C51 - Neoplasia maligna da vulva";"466";"179";"201";"12";"456";"1314"
"C52 - Neoplasia maligna da vagina";"152";"1";"170";"0";"298";"621"
"C53 - Neoplasia maligna do colo do útero";"4287";"4478";"5330";"791";"4967";"19853"
"C54 - Neoplasia maligna do corpo do útero";"2760";"1127";"1616";"12";"2078";"7593"
"C55 - Neoplasia maligna do útero, porção não especificada";"501";"0";"10";"0";"424";"935"
"C56 - Neoplasia maligna do ovário";"3101";"2330";"14";"0";"1896";"7341"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"369";"55";"4";"0";"800";"1228"
"C58 - Neoplasia maligna da placenta";"1";"212";"0";"0";"50";"263"
"C60 - Neoplasia maligna do pênis";"581";"118";"44";"1";"340";"1084"
"C61 - Neoplasia maligna da próstata";"6877";"17952";"4461";"131";"7992";"37413"
"C62 - Neoplasia maligna dos testículos";"1123";"627";"2";"0";"152";"1904"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"12";"0";"0";"0";"85";"97"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"2291";"539";"59";"0";"1369";"4258"
"C65 - Neoplasia maligna da pelve renal";"273";"66";"6";"0";"150";"495"
"C66 - Neoplasia maligna dos ureteres";"81";"21";"7";"0";"85";"194"
"C67 - Neoplasia maligna da bexiga";"5005";"1207";"141";"8";"1149";"7510"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"6";"17";"17";"0";"34";"74"
"C69 - Neoplasia maligna do olho e anexos";"467";"76";"64";"0";"680";"1287"
